"Insight","Data yg dikawinkan","Atribut yg dipakai","Formula Matematika dan formula SQL","Anak/hasil","Tujuan","Manfaat","Next Action"
"Best Performing Branch / Cinema Health Score","Revenue per Cinema + Occupancy Performance","cinema_id; revenue; occupancy_pct","Math: score = 0.6 * norm(revenue) + 0.4 * norm(occupancy). SQL: gabungkan hasil revenue per cinema dan occupancy lalu hitung skor ter-normalisasi","Combine","Menilai cabang paling sehat, bukan hanya paling besar omzetnya","Membantu alokasi resource operasional dan evaluasi cabang","Merge. Satukan dengan Cinema Health & Efficiency Score, jangan dijadikan dua insight terpisah."
"Occupancy by Movie / Day / Studio","movies + schedules + studio + tiket","s.movie_id; s.show_date; s.studio_id; st.total_capacity; t.tiket_id","Math: occupancy_pct = SUM(tickets) / SUM(capacity) * 100 per grup. SQL: agregasi per_schedule lalu GROUP BY s.movie_id, s.show_date, s.studio_id","Anak dari Occupancy Performance","Membuat drill-down okupansi berdasarkan film, hari, dan studio","Membantu relayout jadwal dan pemilihan studio yang tepat","Keep. Ini breakdown, bukan insight parent."
"Most Popular Movie","movies + schedules + tiket","m.movie_id; m.title; t.tiket_id","Math: rank by COUNT(tiket). SQL: sama dengan Movie Performance lalu ORDER BY tickets_sold DESC LIMIT 1","Redundant dengan Movie Performance","Menentukan film yang paling banyak ditonton","Manfaatnya sama dengan ranking movie performance","Drop sebagai insight terpisah. Jadikan output ranking teratas dari Movie Performance."
"Audience Density per Screening","movies + schedules + tiket","s.schedule_id; s.movie_id; t.tiket_id","Math: avg_audience_per_screening = COUNT(tiket) / COUNT(DISTINCT schedule_id). SQL: SELECT s.movie_id, COUNT(t.tiket_id)::float / NULLIF(COUNT(DISTINCT s.schedule_id),0) AS avg_audience_per_screening FROM schedules s LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY s.movie_id","Overlap dengan Schedule Performance dan Repeat Schedule Performance","Melihat rata-rata keramaian tiap pemutaran","Berguna untuk efisiensi slot tayang per film","Merge. Jadikan metrik turunan, bukan insight baru."
"Repeat Schedule Performance","schedules + tiket","s.movie_id; s.show_date; s.studio_id; t.tiket_id","Math: bandingkan avg_audience_per_screening antar periode. SQL: agregasi audience per screening lalu bandingkan per film dan tanggal","Overlap dengan Audience Density per Screening","Melihat apakah film yang diputar berulang masih menarik","Membantu keputusan memperpanjang atau memangkas penayangan","Keep hanya bila definisinya diperjelas sebagai tren. Jika tidak, merge ke Audience Density."
"Seat Demand Heatmap","schedules + tiket","s.show_date; s.start_time; s.studio_id; t.tiket_id","Math: count tickets per date x hour x studio. SQL: SELECT s.show_date, s.start_time, s.studio_id, COUNT(t.tiket_id) FROM schedules s LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY s.show_date, s.start_time, s.studio_id","Visualisasi dari Schedule Performance atau Occupancy","Menampilkan pola ramai vs sepi secara visual","Membantu pembacaan pola demand","Bukan insight baru. Jadikan bentuk visualisasi saja."
"Weekend vs Weekday Demand","schedules + tiket","s.show_date; t.tiket_id","Math: compare COUNT(tiket) atau SUM(final_price) by weekend_flag. SQL: SELECT CASE WHEN EXTRACT(DOW FROM CAST(s.show_date AS DATE)) IN (5,6,0) THEN 'weekend' ELSE 'weekday' END AS day_type, COUNT(t.tiket_id), COALESCE(SUM(t.final_price),0) FROM schedules s LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY day_type","Anak dari Trends atau Best Performing Time Slot","Membandingkan perilaku menonton hari kerja vs akhir pekan","Membantu strategi promo dan penempatan film","Keep sebagai breakdown, bukan parent."
"City Revenue Performance","cinema + studio + schedules + tiket","c.city; st.cinema_id; s.studio_id; t.final_price","Math: city_revenue = SUM(final_price). SQL: SELECT c.city, COALESCE(SUM(t.final_price),0) AS revenue FROM cinema c JOIN studio st ON st.cinema_id = c.cinema_id JOIN schedules s ON s.studio_id = st.studio_id LEFT JOIN tiket t ON t.schedule_id = s.schedule_id GROUP BY c.city","Anak agregasi dari Revenue per Cinema","Mengetahui kota dengan revenue tertinggi","Membantu keputusan ekspansi atau fokus regional","Keep hanya jika keputusan bisnis memang di level kota."
"Payment Success / Failure Rate","tiket","t.payment_type; t.tiket_id","Math: success_rate = 100, failure_rate = 0 dengan asumsi semua transaksi pada tabel tiket adalah sukses. SQL: SELECT payment_type, COUNT(tiket_id) AS total_success FROM tiket GROUP BY payment_type","Asumsi operasional","Mengukur keberhasilan transaksi pembayaran dengan asumsi seluruh tiket yang tercatat sudah sukses","Memungkinkan analisis payment tetap jalan walau tanpa tabel status transaksi","Keep dengan asumsi. Jika nanti tersedia data transaksi gagal, ubah ke metrik success or failure yang sesungguhnya."
"Net Payment Profitability","tiket + tabel biaya payment eksternal","payment_type; final_price; merchant_fee","Math: net_revenue = SUM(final_price) - SUM(fee). Dengan asumsi semua transaksi sukses, komponen success_rate tidak diperlukan. SQL: tetap butuh tabel referensi biaya per payment_type atau mapping fee","Combine tetapi masih butuh biaya payment","Menghitung uang masuk bersih setelah biaya payment","Bisa dipakai untuk memilih channel payment paling efisien","Pending. Asumsi semua sukses sudah cukup, tetapi tetap perlu tabel fee atau MDR per metode."
"Optimasi Slot Tayang Berdasarkan Demand Aktual","Most Popular Movie + Occupancy","movie_id; tickets_sold; occupancy_pct","Math: prioritas slot = fungsi demand dan occupancy. SQL: gabungkan ranking movie dan occupancy per film atau schedule","Combine berupa aturan keputusan, bukan insight mentah","Menentukan film yang layak ditambah atau dikurangi slot","Langsung bisa diterjemahkan ke action operasional","Keep sebagai decision rule, bukan insight dasar."
