"Kategori","No","Data yg dikawinkan","Atribut yg dipakai","Formula","Anak","Tujuan","Manfaat bagi Manager / Keputusan yg bisa diambil","Next Action (bisa dipertimbangkan)"
"Gen 2 x Gen 2","11","Revenue per Cinema; Occupancy Performance","Revenue per Cinema memberi total omzet. Occupancy memberi tingkat keterisian kursi.","Contoh skor: 0.6 x normalized revenue + 0.4 x normalized occupancy.","Best Performing Branch / Cinema Health Score","Menilai cabang paling sehat, bukan hanya paling besar omzetnya.","Membantu alokasi resource operasional dan evaluasi cabang secara lebih seimbang.","Merge. Satukan istilah Best Performing Branch dan Cinema Health Score menjadi satu insight."
"Gen 2 x Gen 1","12","Occupancy Performance; Movie; Schedule; Studio","Occupancy Performance sebagai parent. Movie: movie_id. Schedule: show_date dan studio_id. Studio: total_capacity.","Occupancy by group = SUM(tickets) / SUM(capacity) x 100 per movie, day, atau studio.","Occupancy by Movie / Day / Studio","Membuat drill-down okupansi berdasarkan film, hari, dan studio.","Membantu relayout jadwal, pemilihan studio, dan evaluasi pola keterisian.","Keep. Ini breakdown dari Occupancy Performance, bukan insight parent."
"Gen 2 x Gen 1","13","Movie Performance","Movie Performance: total tiket per movie untuk ranking film.","Most Popular Movie = film dengan COUNT(tiket) tertinggi. SQL: ORDER BY tickets_sold DESC LIMIT 1.","Most Popular Movie","Menentukan film yang paling banyak ditonton.","Membantu keputusan cepat untuk promosi, penambahan jadwal, dan penempatan studio.","Drop sebagai insight terpisah. Jadikan output ranking teratas dari Movie Performance."
"Gen 2 x Gen 1","14","Movie Performance; Schedule","Movie Performance: total tiket per movie. Schedule: jumlah jadwal tayang per film.","Audience Density = total tiket film / jumlah jadwal tayang. SQL: COUNT(t.tiket_id) / COUNT(DISTINCT s.schedule_id).","Audience Density per Screening","Mengukur rata-rata penonton per satu kali tayang.","Mengetahui apakah jadwal terlalu banyak atau terlalu sedikit dan mengevaluasi efisiensi distribusi jadwal.","Merge dengan Repeat Schedule Performance bila fokusnya sama-sama efisiensi penjadwalan."
"Gen 1 x Gen 1","15","Schedule; Ticket","Schedule: movie_id, show_date, dan studio_id untuk melihat tayang ulang. Ticket: tiket_id untuk jumlah penonton.","Bandingkan performa tayang ulang per film antar tanggal. Contoh: AVG(tickets per schedule) per movie per period.","Repeat Schedule Performance","Melihat apakah film yang dijadwalkan ulang masih diminati.","Deteksi penurunan minat penonton dan evaluasi sustain demand suatu film.","Keep hanya jika definisinya diperjelas sebagai tren. Kalau tidak, overlap dengan Audience Density per Screening."
"Gen 2 x Gen 1","16","Schedule Performance atau Occupancy Performance","Schedules: show_date, start_time, dan studio_id. Ticket: tiket_id.","Heatmap demand = COUNT(tiket) per kombinasi tanggal, jam, dan studio.","Seat Demand Heatmap","Menampilkan pola ramai vs sepi secara visual.","Membantu pembacaan pola demand untuk optimasi slot tayang dan staffing.","Bukan insight baru. Jadikan bentuk visualisasi dari Schedule Performance atau Occupancy."
"Gen 1 x Gen 1","17","Schedules; Ticket","Schedules: show_date untuk klasifikasi weekday atau weekend. Ticket: tiket_id dan final_price untuk demand dan revenue.","Bandingkan COUNT(tiket) atau SUM(final_price) antara weekday dan weekend.","Weekend vs Weekday Demand","Membandingkan perilaku menonton di hari kerja vs akhir pekan.","Membantu strategi promo, penempatan film, dan alokasi staf di hari sibuk.","Keep sebagai breakdown dari Trends atau Best Performing Time Slot."
"Gen 1 x Gen 1","18","Cinema; Studio; Schedules; Ticket","Cinema: city sebagai kategori kota. Studio: cinema_id untuk join. Schedules: studio_id untuk join. Ticket: final_price untuk revenue.","City Revenue = SUM(final_price) per city. Jika ingin share: city revenue / total revenue x 100.","City Revenue Performance","Mengetahui kota mana yang menghasilkan revenue tertinggi.","Identifikasi market paling potensial dan perbandingan performa antar kota.","Keep bila keputusan bisnis memang di level kota. Ini anak agregasi dari Revenue per Cinema."
"Fenomena Perkawinan","19","Ticket","Ticket: payment_type untuk kategori metode pembayaran, tiket_id untuk jumlah transaksi. Asumsi: semua transaksi yang tercatat di tabel tiket adalah transaksi sukses.","Success Rate = 100 persen. Failure Rate = 0 persen. Jika dibreakdown per metode: COUNT(ticket_id) per payment_type dengan asumsi seluruh transaksi sukses.","Payment Success Rate","Mengetahui bahwa seluruh transaksi tercatat dianggap berhasil dibayar.","Berguna sebagai asumsi operasional bahwa data tiket yang masuk adalah transaksi sukses, sehingga analisis payment difokuskan ke volume penggunaan metode pembayaran.","Keep dengan asumsi. Gunakan hanya bila memang semua data tiket dianggap transaksi sukses."
"Gen 2 x Gen 2","20","Ticket; tabel biaya payment eksternal","Ticket: payment_type dan final_price. Tabel biaya payment: merchant_fee atau MDR per metode.","Net Payment Profitability = SUM(final_price) - SUM(fee). Dengan asumsi semua transaksi sukses, komponen success_rate tidak diperlukan.","Net Payment Profitability","Mengetahui keuntungan bersih dari tiap metode pembayaran.","Membantu evaluasi efisiensi biaya admin tiap metode pembayaran dan menentukan metode paling menguntungkan secara bersih.","Pending sebagian. Tetap perlu tabel biaya admin atau MDR per metode agar bisa dihitung."
"Gen 2 x Gen 2","21","Most Popular Movie; Occupancy Performance","Most Popular Movie memberi sinyal demand tinggi. Occupancy memberi keterisian kursi.","Prioritas slot = fungsi gabungan demand film dan occupancy.","Optimasi Slot Tayang Berdasarkan Demand Aktual","Menentukan film yang layak ditambah atau dikurangi slot tayangnya.","Membantu keputusan operasional yang langsung bisa diterapkan ke penjadwalan.","Keep sebagai decision rule, bukan insight dasar."
